"temp"	"time"
26.25	1
25.75	2
24.75	3
25.25	4
22.25	5
21	6
20.25	7
19.25	8
20.5	9
21.75	10
24	11
24.25	12
22.25	13
22.5	14
20.5	15
19.25	16
22.25	17
23.75	18
26.5	19
25.25	20
24.75	21
23	22
21.75	23
21	24
20.75	25
19.75	26
19	27
19	28
18.5	29
18	30
19.25	31
23.25	32
21	33
20.75	34
20.5	35
20.5	36
20	37
19.5	38
19.5	39
19	40
18	41
18	42
17.5	43
17	44
16.5	45
16	46
15.5	47
15.5	48
15.5	49
15.5	50
15	51
14.5	52
14.25	53
14	54
13.5	55
13.5	56
13.5	57
13	58
13	59
13	60
12.5	61
12.5	62
12.5	63
12.5	64
12.5	65
12.5	66
12	67
12	68
12	69
12	70
12	71
12	72
12	73
11.75	74
11.5	75
11.5	76
12	77
12	78
12	79
12.5	80
12.5	81
12.5	82
12.5	83
12	84
11.5	85
11.75	86
12	87
12.5	88
13	89
14	90
13.75	91
14.25	92
14.5	93
14	94
14	95
13.75	96
14.5	97
14.5	98
14	99
17	100
15	101
15.75	102
15	103
16.5	104
15	105
17.5	106
22.5	107
22.5	108
20.25	109
19.5	110
17.5	111
16	112
18	113
16.5	114
15.5	115
17.25	116
19	117
17.25	118
15	119
19.75	120
18	121
18.75	122
17.25	123
17	124
16.5	125
17	126
17.75	127
18.75	128
19.25	129
18.25	130
16.5	131
15.5	132
15	133
14.5	134
14	135
13.75	136
13.5	137
13.25	138
13.25	139
12.5	140
12	141
11.5	142
11.25	143
11	144
9.5	145
7.25	146
5.5	147
4.25	148
3.5	149
2.75	150
2.5	151
2	152
1.75	153
1.5	154
1.25	155
1	156
0.75	157
0.75	158
0.5	159
0.25	160
0	161
-0.25	162
-0.25	163
-0.25	164
0.25	165
0.75	166
1	167
1.25	168
1.25	169
1.25	170
1.5	171
2.5	172
4.25	173
4.25	174
4.25	175
5.25	176
6.5	177
8	178
9	179
9.5	180
10	181
11.75	182
17.25	183
22.75	184
20.75	185
19.25	186
18	187
18	188
18.25	189
19	190
19.25	191
19.75	192
21.75	193
25.25	194
25.5	195
25.75	196
24.5	197
29.75	198
33.5	199
33.75	200
32.75	201
34.5	202
33.75	203
32	204
31.75	205
34	206
34	207
32	208
34	209
32	210
32.75	211
32.75	212
32.5	213
33.25	214
32.5	215
30	216
29.75	217
31.75	218
31.75	219
31	220
30.5	221
30.75	222
27.5	223
26.75	224
23.75	225
21.5	226
20.5	227
20	228
19.5	229
19	230
18.5	231
18	232
17	233
16	234
14.25	235
13	236
12	237
11.25	238
10.5	239
10	240
9.75	241
9.75	242
9.25	243
8.5	244
7.5	245
6.75	246
6.5	247
7.5	248
8.5	249
9	250
9.5	251
8.5	252
7.5	253
6.75	254
6.5	255
7	256
8	257
9	258
9.5	259
10	260
10.5	261
10.5	262
10.75	263
11	264
11	265
